count_point_id,dt,q,semaine_ref
6568,2026-01-05 00:00:00+01:00,21,2026-01-05
6568,2026-01-05 01:00:00+01:00,16,2026-01-05
6568,2026-01-05 02:00:00+01:00,20,2026-01-05
6568,2026-01-05 03:00:00+01:00,25,2026-01-05
6568,2026-01-05 04:00:00+01:00,25,2026-01-05
6568,2026-01-05 05:00:00+01:00,32,2026-01-05
6568,2026-01-05 06:00:00+01:00,88,2026-01-05
6568,2026-01-05 07:00:00+01:00,302,2026-01-05
6568,2026-01-05 08:00:00+01:00,414,2026-01-05
6568,2026-01-05 09:00:00+01:00,313,2026-01-05
6568,2026-01-05 10:00:00+01:00,266,2026-01-05
6568,2026-01-05 11:00:00+01:00,293,2026-01-05
6568,2026-01-05 12:00:00+01:00,294,2026-01-05
6568,2026-01-05 13:00:00+01:00,324,2026-01-05
6568,2026-01-05 14:00:00+01:00,304,2026-01-05
6568,2026-01-05 15:00:00+01:00,360,2026-01-05
6568,2026-01-05 16:00:00+01:00,397,2026-01-05
6568,2026-01-05 17:00:00+01:00,474,2026-01-05
6568,2026-01-05 18:00:00+01:00,431,2026-01-05
6568,2026-01-05 19:00:00+01:00,283,2026-01-05
6568,2026-01-05 20:00:00+01:00,187,2026-01-05
6568,2026-01-05 21:00:00+01:00,102,2026-01-05
6568,2026-01-05 22:00:00+01:00,68,2026-01-05
6568,2026-01-05 23:00:00+01:00,26,2026-01-05
6568,2026-01-06 00:00:00+01:00,22,2026-01-05
6568,2026-01-06 01:00:00+01:00,16,2026-01-05
6568,2026-01-06 02:00:00+01:00,18,2026-01-05
6568,2026-01-06 03:00:00+01:00,13,2026-01-05
6568,2026-01-06 04:00:00+01:00,15,2026-01-05
6568,2026-01-06 05:00:00+01:00,35,2026-01-05
6568,2026-01-06 06:00:00+01:00,94,2026-01-05
6568,2026-01-06 07:00:00+01:00,322,2026-01-05
6568,2026-01-06 08:00:00+01:00,473,2026-01-05
6568,2026-01-06 09:00:00+01:00,341,2026-01-05
6568,2026-01-06 10:00:00+01:00,343,2026-01-05
6568,2026-01-06 11:00:00+01:00,331,2026-01-05
6568,2026-01-06 12:00:00+01:00,308,2026-01-05
6568,2026-01-06 13:00:00+01:00,311,2026-01-05
6568,2026-01-06 14:00:00+01:00,340,2026-01-05
6568,2026-01-06 15:00:00+01:00,337,2026-01-05
6568,2026-01-06 16:00:00+01:00,403,2026-01-05
6568,2026-01-06 17:00:00+01:00,475,2026-01-05
6568,2026-01-06 18:00:00+01:00,466,2026-01-05
6568,2026-01-06 19:00:00+01:00,279,2026-01-05
6568,2026-01-06 20:00:00+01:00,176,2026-01-05
6568,2026-01-06 21:00:00+01:00,117,2026-01-05
6568,2026-01-06 22:00:00+01:00,60,2026-01-05
6568,2026-01-06 23:00:00+01:00,31,2026-01-05
6568,2026-01-07 00:00:00+01:00,22,2026-01-05
6568,2026-01-07 01:00:00+01:00,16,2026-01-05
6568,2026-01-07 02:00:00+01:00,22,2026-01-05
6568,2026-01-07 03:00:00+01:00,25,2026-01-05
6568,2026-01-07 04:00:00+01:00,27,2026-01-05
6568,2026-01-07 05:00:00+01:00,33,2026-01-05
6568,2026-01-07 06:00:00+01:00,89,2026-01-05
6568,2026-01-07 07:00:00+01:00,304,2026-01-05
6568,2026-01-07 08:00:00+01:00,411,2026-01-05
6568,2026-01-07 09:00:00+01:00,330,2026-01-05
6568,2026-01-07 10:00:00+01:00,342,2026-01-05
6568,2026-01-07 11:00:00+01:00,336,2026-01-05
6568,2026-01-07 12:00:00+01:00,351,2026-01-05
6568,2026-01-07 13:00:00+01:00,417,2026-01-05
6568,2026-01-07 14:00:00+01:00,325,2026-01-05
6568,2026-01-07 15:00:00+01:00,348,2026-01-05
6568,2026-01-07 16:00:00+01:00,397,2026-01-05
6568,2026-01-07 17:00:00+01:00,416,2026-01-05
6568,2026-01-07 18:00:00+01:00,422,2026-01-05
6568,2026-01-07 19:00:00+01:00,308,2026-01-05
6568,2026-01-07 20:00:00+01:00,173,2026-01-05
6568,2026-01-07 21:00:00+01:00,118,2026-01-05
